Order ID,Date,Customer ID,Product ID,Product Name,Category,Quantity,Price per Unit,Total Sale Amount,Payment Method,Payment Status,Country,Continent
1,2/7/2023,Cust-1,3001,Laptop,Electronics,4,1000,4000,Bank Transfer,Pending,USA,North America
2,6/13/2023,Cust-472,3003,Smartphone,Electronics,5,700,3500,Credit Card,Completed,Brazil,South America
3,5/12/2023,Cust-353,3005,Smartwatch,Accessories,5,200,1000,PayPal,Pending,South Africa,Africa
4,1/27/2023,Cust-934,3003,Smartphone,Electronics,3,700,2100,Credit Card,Pending,USA,North America
5,3/29/2023,Cust-728,3004,Tablet,Electronics,3,300,900,Bank Transfer,Failed,Brazil,South America
6,4/20/2023,Cust-814,3001,Laptop,Electronics,5,1000,5000,Bank Transfer,Failed,France,Europe
7,12/25/2023,Cust-142,3004,Tablet,Electronics,1,300,300,Credit Card,Failed,Canada,North America
8,6/3/2023,Cust-847,3002,Headphones,Accessories,5,50,250,Bank Transfer,Failed,Germany,Europe
9,6/4/2023,Cust-590,3001,Laptop,Electronics,3,1000,3000,Credit Card,Pending,Australia,Australia
10,4/2/2023,Cust-881,3001,Laptop,Electronics,1,1000,1000,Bank Transfer,Pending,Japan,Asia
11,4/2/2023,Cust-69,3003,Smartphone,Electronics,5,700,3500,Bank Transfer,Pending,India,Asia
12,8/23/2023,Cust-137,3002,Headphones,Accessories,2,50,100,Credit Card,Failed,UK,Europe
13,8/21/2023,Cust-922,3005,Smartwatch,Accessories,3,200,600,PayPal,Completed,Australia,Australia
14,3/18/2023,Cust-95,3005,Smartwatch,Accessories,4,200,800,Bank Transfer,Failed,Germany,Europe
15,5/31/2023,Cust-406,3003,Smartphone,Electronics,5,700,3500,Credit Card,Failed,USA,North America
16,10/5/2023,Cust-484,3004,Tablet,Electronics,3,300,900,PayPal,Failed,UK,Europe
17,6/17/2023,Cust-953,3003,Smartphone,Electronics,1,700,700,PayPal,Failed,South Africa,Africa
18,3/14/2023,Cust-570,3004,Tablet,Electronics,5,300,1500,PayPal,Failed,Australia,Australia
19,12/7/2023,Cust-490,3004,Tablet,Electronics,1,300,300,Bank Transfer,Completed,Brazil,South America
20,5/25/2023,Cust-520,3005,Smartwatch,Accessories,2,200,400,PayPal,Failed,USA,North America
21,7/28/2023,Cust-216,3002,Headphones,Accessories,3,50,150,PayPal,Completed,Germany,Europe
22,7/22/2023,Cust-493,3001,Laptop,Electronics,5,1000,5000,Credit Card,Pending,Australia,Australia
23,12/4/2023,Cust-379,3001,Laptop,Electronics,4,1000,4000,Credit Card,Completed,Germany,Europe
24,10/11/2023,Cust-469,3004,Tablet,Electronics,2,300,600,Credit Card,Completed,Brazil,South America
25,4/22/2023,Cust-837,3002,Headphones,Accessories,3,50,150,Credit Card,Completed,Germany,Europe
26,2/15/2023,Cust-914,3003,Smartphone,Electronics,3,700,2100,Bank Transfer,Failed,Australia,Australia
27,11/5/2023,Cust-833,3002,Headphones,Accessories,2,50,100,PayPal,Completed,France,Europe
28,11/19/2023,Cust-793,3002,Headphones,Accessories,2,50,100,Bank Transfer,Failed,Canada,North America
29,5/5/2023,Cust-809,3001,Laptop,Electronics,5,1000,5000,Bank Transfer,Pending,France,Europe
30,5/18/2023,Cust-292,3003,Smartphone,Electronics,2,700,1400,Bank Transfer,Failed,USA,North America
31,7/1/2023,Cust-995,3005,Smartwatch,Accessories,2,200,400,PayPal,Failed,Brazil,South America
32,7/22/2023,Cust-906,3002,Headphones,Accessories,2,50,100,Credit Card,Completed,Canada,North America
33,1/1/2023,Cust-4,3003,Smartphone,Electronics,3,700,2100,Bank Transfer,Failed,UK,Europe
34,1/18/2023,Cust-584,3005,Smartwatch,Accessories,2,200,400,Bank Transfer,Pending,Australia,Australia
35,11/3/2023,Cust-153,3005,Smartwatch,Accessories,5,200,1000,PayPal,Failed,Germany,Europe
36,10/6/2023,Cust-419,3004,Tablet,Electronics,5,300,1500,Credit Card,Pending,Japan,Asia
37,1/24/2023,Cust-331,3003,Smartphone,Electronics,4,700,2800,Credit Card,Completed,USA,North America
38,3/19/2023,Cust-113,3005,Smartwatch,Accessories,1,200,200,Credit Card,Failed,France,Europe
39,11/25/2023,Cust-16,3001,Laptop,Electronics,4,1000,4000,Bank Transfer,Pending,Australia,Australia
40,3/21/2023,Cust-443,3001,Laptop,Electronics,3,1000,3000,Credit Card,Failed,UK,Europe
41,12/14/2023,Cust-455,3003,Smartphone,Electronics,2,700,1400,Bank Transfer,Failed,South Africa,Africa
42,5/27/2023,Cust-640,3003,Smartphone,Electronics,2,700,1400,Credit Card,Pending,UK,Europe
43,4/30/2023,Cust-498,3005,Smartwatch,Accessories,3,200,600,PayPal,Failed,France,Europe
44,12/19/2023,Cust-274,3002,Headphones,Accessories,4,50,200,Bank Transfer,Pending,Japan,Asia
45,11/28/2023,Cust-711,3003,Smartphone,Electronics,2,700,1400,Credit Card,Failed,Brazil,South America
46,1/15/2023,Cust-191,3004,Tablet,Electronics,1,300,300,Bank Transfer,Failed,Germany,Europe
47,2/23/2023,Cust-149,3003,Smartphone,Electronics,5,700,3500,Credit Card,Failed,USA,North America
48,1/9/2023,Cust-288,3003,Smartphone,Electronics,5,700,3500,PayPal,Failed,UK,Europe
49,7/27/2023,Cust-370,3005,Smartwatch,Accessories,2,200,400,Credit Card,Completed,India,Asia
50,9/8/2023,Cust-285,3003,Smartphone,Electronics,2,700,1400,Bank Transfer,Failed,India,Asia
51,9/10/2023,Cust-281,3003,Smartphone,Electronics,5,700,3500,Bank Transfer,Pending,Australia,Australia
52,12/2/2023,Cust-127,3002,Headphones,Accessories,3,50,150,PayPal,Failed,Canada,North America
53,4/20/2023,Cust-13,3004,Tablet,Electronics,4,300,1200,PayPal,Completed,Canada,North America
54,6/16/2023,Cust-858,3001,Laptop,Electronics,5,1000,5000,Credit Card,Completed,Germany,Europe
55,8/8/2023,Cust-953,3005,Smartwatch,Accessories,4,200,800,Credit Card,Pending,USA,North America
56,4/8/2023,Cust-550,3001,Laptop,Electronics,5,1000,5000,PayPal,Failed,UK,Europe
57,9/16/2023,Cust-358,3003,Smartphone,Electronics,3,700,2100,PayPal,Pending,Japan,Asia
58,4/10/2023,Cust-608,3002,Headphones,Accessories,5,50,250,Credit Card,Failed,Canada,North America
59,4/14/2023,Cust-662,3003,Smartphone,Electronics,4,700,2800,Credit Card,Completed,South Africa,Africa
60,11/23/2023,Cust-561,3004,Tablet,Electronics,5,300,1500,Credit Card,Pending,Australia,Australia
61,8/12/2023,Cust-216,3005,Smartwatch,Accessories,4,200,800,Credit Card,Pending,Australia,Australia
62,8/31/2023,Cust-811,3003,Smartphone,Electronics,1,700,700,Credit Card,Pending,Canada,North America
63,10/6/2023,Cust-599,3004,Tablet,Electronics,2,300,600,Bank Transfer,Pending,India,Asia
64,7/9/2023,Cust-663,3003,Smartphone,Electronics,5,700,3500,PayPal,Failed,India,Asia
65,10/15/2023,Cust-67,3005,Smartwatch,Accessories,4,200,800,Credit Card,Pending,UK,Europe
66,3/11/2023,Cust-68,3001,Laptop,Electronics,5,1000,5000,PayPal,Pending,UK,Europe
67,1/29/2023,Cust-175,3002,Headphones,Accessories,5,50,250,PayPal,Pending,Australia,Australia
68,6/19/2023,Cust-894,3005,Smartwatch,Accessories,1,200,200,PayPal,Completed,Brazil,South America
69,5/17/2023,Cust-258,3004,Tablet,Electronics,2,300,600,Credit Card,Failed,South Africa,Africa
70,9/20/2023,Cust-426,3002,Headphones,Accessories,1,50,50,Credit Card,Completed,Germany,Europe
71,6/8/2023,Cust-141,3004,Tablet,Electronics,4,300,1200,Bank Transfer,Failed,India,Asia
72,6/4/2023,Cust-293,3002,Headphones,Accessories,5,50,250,Bank Transfer,Failed,Australia,Australia
73,10/8/2023,Cust-315,3002,Headphones,Accessories,5,50,250,PayPal,Pending,USA,North America
74,7/15/2023,Cust-408,3002,Headphones,Accessories,3,50,150,PayPal,Pending,Canada,North America
75,10/27/2023,Cust-542,3003,Smartphone,Electronics,4,700,2800,PayPal,Completed,Germany,Europe
76,4/26/2023,Cust-402,3002,Headphones,Accessories,2,50,100,PayPal,Failed,Canada,North America
77,5/16/2023,Cust-973,3005,Smartwatch,Accessories,3,200,600,Bank Transfer,Completed,UK,Europe
78,7/16/2023,Cust-412,3003,Smartphone,Electronics,4,700,2800,PayPal,Failed,USA,North America
79,1/13/2023,Cust-987,3005,Smartwatch,Accessories,4,200,800,Credit Card,Completed,Germany,Europe
80,12/13/2023,Cust-710,3005,Smartwatch,Accessories,1,200,200,Bank Transfer,Pending,South Africa,Africa
81,11/12/2023,Cust-413,3004,Tablet,Electronics,4,300,1200,PayPal,Completed,USA,North America
82,9/25/2023,Cust-848,3003,Smartphone,Electronics,4,700,2800,Bank Transfer,Pending,Brazil,South America
83,10/4/2023,Cust-303,3005,Smartwatch,Accessories,3,200,600,Credit Card,Completed,India,Asia
84,10/13/2023,Cust-322,3005,Smartwatch,Accessories,2,200,400,Credit Card,Failed,Germany,Europe
85,9/16/2023,Cust-256,3002,Headphones,Accessories,1,50,50,Credit Card,Pending,India,Asia
86,8/6/2023,Cust-83,3004,Tablet,Electronics,1,300,300,Bank Transfer,Failed,UK,Europe
87,5/6/2023,Cust-975,3003,Smartphone,Electronics,3,700,2100,Credit Card,Completed,USA,North America
88,5/9/2023,Cust-951,3001,Laptop,Electronics,2,1000,2000,PayPal,Completed,India,Asia
89,3/12/2023,Cust-810,3005,Smartwatch,Accessories,1,200,200,PayPal,Failed,Germany,Europe
90,8/18/2023,Cust-587,3003,Smartphone,Electronics,4,700,2800,Credit Card,Completed,Brazil,South America
91,4/6/2023,Cust-353,3001,Laptop,Electronics,5,1000,5000,Bank Transfer,Pending,Japan,Asia
92,1/19/2023,Cust-304,3002,Headphones,Accessories,1,50,50,Credit Card,Failed,South Africa,Africa
93,5/22/2023,Cust-350,3003,Smartphone,Electronics,1,700,700,Bank Transfer,Completed,South Africa,Africa
94,1/22/2023,Cust-833,3002,Headphones,Accessories,1,50,50,Bank Transfer,Completed,France,Europe
